Income,Number of Dependents,Employment Status,Age,Education Level,Region,Owns Property,Bank Balance,Loan Status,Medical Expenses,Eligibility
44021,6,Retired,63,Graduate,Urban,Yes,125899,Defaulted,23061,Yes
22271,0,Self-employed,77,Graduate,Urban,Yes,27712,Defaulted,19181,Yes
2585,6,Employed,45,Secondary,Urban,Yes,127016,Paid,22574,Yes
12284,7,Retired,55,Primary,Suburban,No,39298,Pending,49289,Yes
25276,3,Retired,46,Secondary,Suburban,Yes,58141,Pending,15034,Yes
15043,2,Self-employed,66,Graduate,Suburban,No,34701,Paid,5626,No
8561,4,Unemployed,38,Secondary,Urban,No,34636,Paid,21427,No
14234,3,Self-employed,46,None,Suburban,No,103320,Defaulted,26431,No
39518,1,Retired,42,Secondary,Urban,Yes,135566,Pending,8073,No
40056,7,Self-employed,60,Graduate,Rural,Yes,124343,No Loan,24860,No
41994,3,Retired,51,Graduate,Suburban,No,105787,Pending,16282,Yes
2899,9,Unemployed,73,Secondary,Urban,Yes,183808,Pending,36034,Yes
15369,2,Employed,66,Primary,Suburban,Yes,128583,No Loan,31598,No
1161,0,Employed,45,Primary,Rural,Yes,27532,No Loan,55,Yes
21128,1,Self-employed,78,Secondary,Urban,Yes,86988,Paid,44859,No
20123,4,Retired,18,Higher,Rural,Yes,116953,Defaulted,13025,No
48077,9,Retired,25,Higher,Urban,Yes,17602,Paid,48290,No
7229,8,Unemployed,50,Higher,Suburban,Yes,45028,Defaulted,23821,No
47514,8,Unemployed,27,Higher,Urban,Yes,127015,Defaulted,38158,No
36920,6,Self-employed,47,Higher,Urban,Yes,33307,No Loan,23321,Yes
9258,1,Employed,66,Graduate,Urban,No,179352,Paid,35196,No
1769,8,Self-employed,46,Primary,Rural,No,36395,No Loan,39037,Yes
14046,0,Self-employed,35,Primary,Suburban,Yes,159903,Pending,28087,No
17644,3,Self-employed,74,Graduate,Suburban,Yes,140588,Defaulted,3224,No
24247,6,Self-employed,66,Higher,Urban,No,154865,Pending,46391,Yes
23700,0,Retired,36,Graduate,Suburban,No,42520,Paid,23019,No
10268,4,Self-employed,52,None,Rural,No,61813,Defaulted,17302,Yes
23350,5,Employed,47,Graduate,Suburban,Yes,148746,Pending,12857,No
39110,7,Unemployed,19,Primary,Urban,Yes,60504,Paid,48901,No
45243,6,Unemployed,43,Primary,Suburban,Yes,128301,Paid,11939,No
11627,3,Self-employed,39,Higher,Rural,No,142047,Paid,45659,Yes
29746,5,Employed,67,Primary,Urban,No,83300,No Loan,7424,No
47685,2,Self-employed,21,Graduate,Suburban,Yes,43642,No Loan,11425,No
45131,6,Retired,79,None,Suburban,Yes,33591,Paid,7941,Yes
22243,0,Retired,69,Graduate,Urban,Yes,139487,Pending,1531,Yes
3747,4,Employed,31,Secondary,Suburban,No,17640,No Loan,45415,Yes
40756,4,Employed,40,Primary,Urban,No,41755,Paid,41652,No
9792,4,Self-employed,72,Graduate,Suburban,No,11023,Pending,37545,Yes
7265,2,Unemployed,57,Secondary,Rural,Yes,80219,No Loan,19856,Yes
15502,0,Self-employed,76,Primary,Urban,Yes,78859,No Loan,21508,Yes
2016,0,Employed,54,Graduate,Suburban,No,129473,Pending,39577,Yes
16728,5,Self-employed,45,Higher,Urban,Yes,64754,No Loan,29241,No
4890,9,Retired,50,Primary,Suburban,No,172502,Paid,28732,Yes
38819,0,Unemployed,35,Primary,Urban,No,34620,No Loan,45002,Yes
43101,3,Employed,50,None,Urban,Yes,81121,Defaulted,21563,No
40051,4,Employed,49,Graduate,Suburban,No,69669,Pending,3380,No
12016,2,Retired,55,Higher,Rural,No,119156,Pending,39144,Yes
34763,7,Employed,63,Primary,Suburban,No,118012,Defaulted,28699,Yes
25818,0,Employed,18,Graduate,Urban,Yes,7906,Paid,32347,No
35529,4,Retired,30,Graduate,Urban,Yes,186626,Paid,14288,No
12534,7,Employed,23,Graduate,Urban,Yes,136785,Defaulted,2125,Yes
48915,0,Retired,66,Higher,Suburban,No,168645,No Loan,37567,No
17023,9,Self-employed,42,None,Rural,Yes,103333,Defaulted,14388,Yes
27386,5,Self-employed,40,Secondary,Rural,No,25559,Pending,39341,No
27531,8,Retired,50,Primary,Rural,Yes,158427,Pending,10488,Yes
33606,5,Unemployed,70,None,Rural,No,176517,Defaulted,8150,Yes
5324,1,Employed,68,None,Suburban,No,54028,Pending,39214,No
20457,8,Self-employed,22,Higher,Urban,No,178677,Pending,10478,Yes
36240,2,Retired,24,Secondary,Rural,No,61665,Defaulted,26029,No
10865,9,Unemployed,54,Secondary,Urban,Yes,2396,No Loan,11536,No
30127,8,Retired,52,Graduate,Urban,Yes,56178,Pending,44247,Yes
28480,7,Unemployed,58,Higher,Suburban,Yes,91362,No Loan,6238,Yes
31105,0,Unemployed,77,Secondary,Urban,Yes,50106,Pending,34375,No
19431,2,Retired,50,Higher,Suburban,Yes,71726,Defaulted,24071,Yes
24897,5,Employed,62,Graduate,Rural,Yes,160775,Pending,16907,Yes
2685,6,Retired,42,Graduate,Suburban,Yes,198713,Paid,4300,Yes
42427,6,Unemployed,45,Graduate,Urban,Yes,102979,Pending,32196,No
18568,6,Employed,71,Graduate,Rural,Yes,20559,Defaulted,17144,Yes
24483,9,Retired,71,Graduate,Rural,No,46427,Pending,27693,Yes
46745,2,Self-employed,25,None,Suburban,No,45648,Pending,15251,No
28446,8,Self-employed,36,None,Rural,Yes,155650,Defaulted,47851,No
3027,0,Retired,42,Higher,Suburban,Yes,6970,Pending,8152,Yes
48191,9,Self-employed,65,None,Rural,Yes,23960,No Loan,27169,Yes
38065,2,Retired,47,Primary,Urban,No,165421,Pending,45781,Yes
24939,0,Unemployed,50,Secondary,Urban,Yes,20159,Pending,43221,Yes
36773,4,Self-employed,37,Primary,Urban,Yes,52638,No Loan,18271,Yes
17389,2,Retired,71,Primary,Rural,Yes,190792,Defaulted,34450,No
11787,4,Employed,64,Secondary,Urban,No,7287,No Loan,16335,No
26851,0,Retired,58,Graduate,Urban,No,50990,Paid,16748,Yes
20118,0,Retired,65,Primary,Suburban,No,38413,Pending,41240,Yes
25300,1,Self-employed,63,Primary,Rural,No,56570,Pending,5126,Yes
11954,6,Employed,20,Graduate,Rural,No,94377,Paid,17175,No
46375,5,Unemployed,25,Graduate,Urban,No,112217,Defaulted,46765,No
46587,1,Self-employed,72,Primary,Suburban,Yes,105595,No Loan,5776,No
17616,4,Retired,24,Secondary,Rural,Yes,24262,No Loan,27083,No
37976,9,Retired,45,Higher,Rural,Yes,33742,Paid,36444,No
21618,7,Unemployed,20,Higher,Rural,No,140975,Pending,17343,No
11554,9,Retired,40,None,Urban,Yes,118533,No Loan,6540,No
14918,6,Employed,33,Secondary,Rural,No,157757,Pending,22042,No
33043,4,Employed,63,Primary,Suburban,No,64772,Pending,18639,No
2062,0,Retired,70,Secondary,Urban,Yes,67364,Pending,49146,No
6311,1,Self-employed,63,Secondary,Urban,Yes,153772,Defaulted,12015,Yes
49153,5,Employed,27,Primary,Rural,Yes,46542,No Loan,26385,No
49447,4,Employed,49,Higher,Urban,No,158448,Pending,36124,No
49555,8,Retired,25,Higher,Rural,Yes,61529,Pending,42928,Yes
11267,1,Unemployed,69,Higher,Suburban,No,89431,Paid,20953,No
23422,3,Self-employed,64,Higher,Suburban,No,115005,Paid,47837,No
27734,7,Unemployed,34,Higher,Suburban,No,80435,Defaulted,21510,No
19942,0,Retired,21,None,Urban,No,114065,Pending,22415,Yes
45974,5,Unemployed,44,Higher,Urban,Yes,84665,Defaulted,46892,Yes
33254,7,Self-employed,41,Primary,Suburban,No,134092,Paid,38827,No
27069,1,Employed,58,Higher,Suburban,Yes,185914,Paid,7813,No
42606,2,Self-employed,65,None,Rural,Yes,155576,Pending,11314,Yes
11589,0,Retired,47,Primary,Suburban,No,156497,No Loan,11722,No
4596,5,Unemployed,39,Primary,Suburban,No,187710,Pending,21195,No
42090,8,Self-employed,52,Secondary,Rural,No,114821,Pending,5569,Yes
28285,1,Self-employed,79,Higher,Rural,Yes,76898,Defaulted,35612,No
19935,7,Self-employed,18,Primary,Urban,No,65160,No Loan,1980,No
13199,7,Retired,39,Graduate,Suburban,Yes,41844,No Loan,27082,No
7371,8,Unemployed,37,Graduate,Suburban,Yes,193283,Defaulted,44064,No
44573,8,Unemployed,65,Graduate,Urban,Yes,169160,No Loan,4432,Yes
3433,7,Employed,35,Primary,Urban,Yes,129695,No Loan,36586,Yes
2828,7,Unemployed,74,Primary,Rural,No,106532,No Loan,30707,No
8943,0,Retired,71,None,Rural,No,169269,Defaulted,27570,No
25253,9,Employed,41,Graduate,Urban,Yes,196617,Pending,4621,Yes
4943,0,Employed,64,None,Suburban,No,4835,No Loan,5240,Yes
44323,6,Self-employed,39,None,Suburban,Yes,21447,Paid,36668,Yes
10111,7,Unemployed,67,Higher,Urban,No,33660,No Loan,28602,No
6622,6,Unemployed,46,None,Suburban,No,30448,Pending,23411,No
39158,2,Unemployed,25,Secondary,Rural,Yes,42918,No Loan,37660,Yes
6675,4,Retired,61,None,Suburban,Yes,82844,No Loan,17022,Yes
3568,0,Retired,35,Graduate,Urban,No,20309,Paid,46271,Yes
27557,9,Retired,46,None,Suburban,No,122402,Pending,8717,Yes
46540,7,Self-employed,24,None,Urban,No,122744,Defaulted,9077,No
45732,0,Employed,53,Primary,Urban,No,52224,No Loan,39811,Yes
42605,2,Self-employed,55,Secondary,Rural,No,83560,Defaulted,44923,No
2267,6,Retired,25,None,Rural,Yes,110133,No Loan,33434,Yes
22962,4,Retired,52,Primary,Urban,No,28016,No Loan,36932,Yes
7396,2,Unemployed,78,None,Rural,Yes,21732,No Loan,15183,Yes
26289,3,Unemployed,23,Primary,Suburban,Yes,43001,Paid,11383,No
43533,3,Self-employed,18,None,Rural,No,41873,Pending,20017,No
39328,0,Employed,72,Primary,Urban,Yes,88801,Pending,19440,No
7738,8,Retired,57,Primary,Rural,Yes,77129,Pending,44569,No
16913,4,Retired,66,Primary,Urban,Yes,40042,Paid,11745,No
11167,2,Employed,47,Graduate,Urban,No,145271,Defaulted,23650,No
48045,8,Unemployed,76,Graduate,Urban,No,73781,No Loan,16422,No
2605,7,Employed,47,Higher,Suburban,No,149369,Defaulted,17482,No
2917,3,Self-employed,72,Graduate,Suburban,No,126267,No Loan,39110,No
7767,7,Self-employed,66,Primary,Suburban,No,26172,Pending,46766,No
16795,7,Self-employed,28,Primary,Urban,No,156542,Defaulted,4854,Yes
4556,9,Retired,34,Primary,Urban,Yes,150159,No Loan,10161,Yes
42434,5,Self-employed,53,Graduate,Urban,Yes,161426,No Loan,6090,Yes
12394,8,Self-employed,20,Graduate,Urban,Yes,199938,No Loan,49823,Yes
12653,3,Unemployed,78,Primary,Urban,Yes,105616,No Loan,19262,Yes
1009,2,Retired,71,Secondary,Rural,Yes,125991,Paid,526,No
18260,3,Self-employed,68,Primary,Urban,Yes,182020,Defaulted,32232,No
13941,5,Unemployed,46,Primary,Rural,Yes,70831,Paid,17434,No
7873,8,Unemployed,34,Graduate,Urban,Yes,97007,Defaulted,302,Yes
7168,2,Self-employed,45,None,Rural,No,126295,Defaulted,25338,No
26658,2,Self-employed,50,Higher,Urban,No,13843,Pending,11637,Yes
38194,0,Unemployed,79,Primary,Rural,Yes,66040,Defaulted,19963,Yes
3219,4,Retired,20,Primary,Rural,Yes,84082,Paid,28541,No
40188,6,Retired,19,None,Suburban,Yes,128148,Pending,6254,Yes
1117,6,Unemployed,68,Primary,Suburban,Yes,154946,No Loan,19982,No
9433,3,Retired,47,Higher,Rural,No,23959,Paid,13716,Yes
15541,9,Employed,38,Primary,Rural,No,162993,Paid,23624,Yes
1189,2,Employed,38,Higher,Urban,Yes,52528,No Loan,42679,Yes
40001,0,Self-employed,24,Graduate,Suburban,Yes,135044,Paid,8782,No
32551,6,Employed,24,Primary,Suburban,Yes,106357,Defaulted,4188,Yes
36358,6,Unemployed,31,None,Suburban,Yes,61413,Pending,33756,No
1846,3,Self-employed,56,None,Rural,No,25931,Paid,41752,No
20769,7,Retired,52,Higher,Urban,No,93396,No Loan,24214,Yes
24275,7,Retired,78,Secondary,Suburban,No,165229,No Loan,30678,No
2021,8,Self-employed,77,Primary,Urban,No,121790,Defaulted,45162,Yes
22777,3,Unemployed,68,Secondary,Suburban,No,99657,Paid,21969,Yes
29024,8,Retired,36,Secondary,Suburban,No,46600,No Loan,41846,No
18159,4,Self-employed,44,Secondary,Suburban,No,102023,Defaulted,26329,Yes
14417,2,Self-employed,36,Primary,Rural,No,78752,Paid,29721,Yes
14703,3,Employed,49,None,Urban,No,29192,Paid,48651,No
40099,0,Self-employed,78,None,Suburban,No,112816,Paid,40940,Yes
29693,4,Unemployed,33,Primary,Suburban,Yes,192714,Defaulted,40118,Yes
43563,0,Retired,67,Graduate,Rural,Yes,160829,Paid,21730,No

